--------- beginning of crash
--------- beginning of system
--------- beginning of main
2026-04-10 09:41:57.136 13690-13690 dex2oat                 dex2oat                              W  Verification of int org.concentus.OpusEncoder.opus_encode_native(short[], int, int, byte[], int, int, int, short[], int, int, int, int, int, int) took 108.616ms
---------------------------- PROCESS STARTED (13930) for package com.reedersystems.commandcomms ----------------------------
---------------------------- PROCESS ENDED (13930) for package com.reedersystems.commandcomms ----------------------------
---------------------------- PROCESS STARTED (13990) for package com.reedersystems.commandcomms ----------------------------
2026-04-10 09:45:46.615 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=224 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=4 method=encode
2026-04-10 09:45:46.620 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=7651ms
2026-04-10 09:45:46.631 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=224 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=2 assertionFailures=5 method=encode
2026-04-10 09:45:46.636 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=7668ms
2026-04-10 09:45:46.646 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_CIRCUIT_BREAKER_TRIPPED consecutiveFailures=3 totalAssertionFailures=6 frame=224 source=VOICE_COMMUNICATION — encoding disabled for remainder of TX session method=encode
2026-04-10 09:54:02.937 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=10 totalFrames=665 totalOpusBytes=70969 totalPcmBytes=1276800 plcCount=46 t=503968ms
2026-04-10 09:54:03.936 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=715 totalOpusBytes=76731 totalPcmBytes=1372800 plcCount=46 t=504968ms
2026-04-10 09:54:04.943 13990-17568 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=765 totalOpusBytes=79969 totalPcmBytes=1468800 plcCount=67 t=505975ms
2026-04-10 09:54:05.963 13990-17568 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=816 totalOpusBytes=85832 totalPcmBytes=1566720 plcCount=67 t=506994ms
2026-04-10 09:54:06.963 13990-17568 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=866 totalOpusBytes=91219 totalPcmBytes=1662720 plcCount=67 t=507995ms
2026-04-10 09:54:07.964 13990-17568 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=916 totalOpusBytes=96744 totalPcmBytes=1758720 plcCount=67 t=508996ms
2026-04-10 09:54:08.984 13990-17568 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=967 totalOpusBytes=102373 totalPcmBytes=1856640 plcCount=67 t=510015ms
